pair,key,layer_idx,rel_depth,sub_module,shape,fro_delta,sigma_1_delta,stable_rank_delta,effective_rank_top64_delta,top_align_with_W_LLM
qwen25,model.layers.13.mlp.down_proj.weight,13,0.48148148148148145,mlp.down_proj,,76.85649108886719,2.438138484954834,993.6750058994705,62.29589558389866,0.04184458404779434
qwen25,model.layers.13.mlp.gate_proj.weight,13,0.48148148148148145,mlp.gate_proj,,86.39132690429688,5.23826789855957,271.99747835036294,57.12584348374036,0.15842609107494354
qwen25,model.layers.13.mlp.up_proj.weight,13,0.48148148148148145,mlp.up_proj,,80.1314468383789,3.509169578552246,521.4314922974622,60.16000432088744,0.06582692265510559
qwen25,model.layers.13.self_attn.k_proj.weight,13,0.48148148148148145,self_attn.k_proj,,13.499523162841797,1.6367050409317017,68.02930227563584,57.369065745812456,0.10269980877637863
qwen25,model.layers.13.self_attn.o_proj.weight,13,0.48148148148148145,self_attn.o_proj,,26.318105697631836,1.5814789533615112,276.9379163817926,59.3481666629265,0.009967836551368237
qwen25,model.layers.13.self_attn.q_proj.weight,13,0.48148148148148145,self_attn.q_proj,,41.25667953491211,3.483983278274536,140.2285423222176,56.50005865709712,0.11307179182767868
qwen25,model.layers.13.self_attn.v_proj.weight,13,0.48148148148148145,self_attn.v_proj,,7.962100028991699,0.566804826259613,197.32775715397628,62.27881755149946,0.005672452040016651
qwen25,model.layers.14.mlp.down_proj.weight,14,0.5185185185185185,mlp.down_proj,,77.82969665527344,2.6940486431121826,834.6027465698234,61.896284141080486,0.037756651639938354
qwen25,model.layers.14.mlp.gate_proj.weight,14,0.5185185185185185,mlp.gate_proj,,85.77643585205078,5.274703025817871,264.44780520325736,56.741320003114396,0.08046716451644897
qwen25,model.layers.14.mlp.up_proj.weight,14,0.5185185185185185,mlp.up_proj,,80.55496215820312,3.6350350379943848,491.0971267341845,59.663435852369716,0.10223531723022461
qwen25,model.layers.14.self_attn.k_proj.weight,14,0.5185185185185185,self_attn.k_proj,,13.290605545043945,1.5997153520584106,69.02463393170555,58.77497468027152,0.064471036195755
qwen25,model.layers.14.self_attn.o_proj.weight,14,0.5185185185185185,self_attn.o_proj,,28.974267959594727,3.176076650619507,83.22292858948958,54.51372064852625,0.060153137892484665
